Servereinführung,Awareness-Team,Cum-Ex,Staudamm bauen,Datenethik,KI-Grundlagen,Krisenkommunikation,Nachhaltigkeit,Führungskompetenz,Cybersecurity Basics,Konfliktmanagement,Innovationsworkshop,Projektmanagement,Diversity Training,Change Management,Kommunikationstraining,Team Building,Digitale Transformation,Zeitmanagement,Kreativitätstechniken,Stressmanagement,Agiles Arbeiten,Unternehmenskultur,Ethik in der Wirtschaft,Verhandlungsführung,Präsentationstechniken,Leadership Lab,Wissensmanagement,Coaching Skills,Strategieworkshop,Feedbackkultur,Motivationstraining,Entscheidungsfindung,Zukunftswerkstatt,Remote Work Excellence,Customer Experience,Emotional Intelligence,Nachhaltiges Wirtschaften,Öffentlichkeitsarbeit,Vertragsrecht Basics,Datenanalyse & Dashboards,Medienkompetenzen,Organizational Development,Personal Branding,Qualitätsmanagement,Risikomanagement,Supply Chain Management,Unternehmertum & Gründung,Verpackungsdesign,Wertschöpfungsketten,Arbeitsschutz & Hygiene,Betriebswirtschaft Grundlagen,Compliance & Governance,Entwicklungsgespräche führen,Finanzplanung & Controlling,Gesundheitsmanagement,Ideenmanagement,Jobrotation & Entwicklung,Lieferkettentransparenz,Marktforschung Methoden,Nachrichten & Storytelling,Offene Unternehmenskultur,Partizipation & Mitsprache,Qualifizierungswege,Resilienz-Training,Selbstmanagement & Produktivität,Transforma­tionsfähigkeit,Unternehmenskommunikation,Visionsfindung & Strategie,Widerstandsfähigkeit,X-Kompetenzen für die Zukunft
,81,,,,88,,75,74,,,79,70,72,,69,75,73,,,,,71,,,,76,,,71,68,66,69,75,,74,,73,,,76,,78,,72,,76,74,,,,68,,71,74,,,69,,,,73,70,69,,,76,,74,,75
,58,,,,,59,,55,,,57,,63,,57,,58,,,61,,,,,,,,,56,,54,,,,60,,,,,,61,,64,,,,,,,55,,,,,63,,,,,60,,,,64,,,,,61,
,67,82,,,,,,,73,82,,74,,78,,,,,,,79,,81,75,,,81,80,,70,,,,77,,81,,,,,,,,,78,,,,83,,,78,,,,79,,84,81,,,,,,,,,,,
,,,72,,85,77,69,62,,,80,50,68,45,71,76,82,,75,,47,,44,,77,,49,,,,79,73,83,,86,,80,,,84,,79,,82,,85,81,77,,,80,,,82,,,,48,,,,77,,,,82,,,,83
,,,51,,46,49,47,,56,,48,65,44,59,,43,46,,52,,57,,55,,,,58,,59,,42,43,51,57,50,,45,,47,51,,,,48,,49,,52,,45,,,,,,,,65,,,,,,,,,,,,
,,,58,,63,60,64,71,,,66,,,38,62,62,61,,60,,36,,,,,,39,,43,,61,,62,,65,,58,,,63,,,,60,,62,,64,59,54,,,,,,62,,,59,,,,,,,,,,,
,,,42,,,39,52,,,,44,,41,,,40,37,,,,,,,,,,,,,,35,,41,,45,,40,,,42,,,,,,43,,46,,38,,,,,,,,,,,,,,,,,,,,64
,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,82,,,,68,,,72,79,,70,77,73,,75,76,,74,71,,69,,68,,72,,74,69,75,,70,,67,70,,79,,75,71,,,73,,73,,,,72,,,,,,76,,68,,72,,,74,69,,70,70,75,
67,71,,72,55,,,,59,,,61,66,,60,63,62,,64,65,,67,58,,,68,61,,63,66,64,62,66,65,61,,59,65,68,69,72,63,61,72,68,64,,66,65,68,70,67,,69,58,74,69,63,76,60,70,65,71,73,64,,,68,,62,70
74,80,68,77,71,48,,,83,67,74,,76,59,75,69,78,65,80,72,64,81,68,,62,73,75,71,77,70,79,77,73,68,74,63,76,,71,82,77,79,68,74,,70,76,75,,77,,76,,75,,71,72,74,70,65,72,77,,76,71,78,72,73,69,71,79
78,85,76,79,64,76,,,75,82,71,,84,77,,,81,79,83,77,78,79,,,75,,80,79,76,78,82,,77,80,76,81,78,77,73,,79,82,,69,,,81,,,83,,,,78,,77,82,79,73,,,,,75,,80,76,,77,,84
,73,72,,,62,88,,91,79,68,,73,65,77,,72,69,70,74,71,,,43,67,,66,64,68,63,70,,72,67,69,68,71,,66,,74,,,,,,72,,,74,,,48,71,,,,,,,,,,,,72,68,,,,75
56,59,55,62,78,,75,45,38,52,53,58,,44,58,,49,58,56,,47,57,51,58,,,40,50,60,42,48,,59,53,55,46,47,55,48,,51,52,56,58,59,49,54,,62,55,64,58,,53,62,51,57,59,54,,57,53,61,58,,55,52,51,,58,57
55,,54,,69,,,,66,,,,50,,61,,48,52,,53,49,,62,58,,,55,,51,,52,,54,,50,,,,52,,66,,54,,,56,,52,,,,51,,,,,,55,,52,,58,,,54,,51,55,57,59,
51,60,52,58,45,,,,72,,65,,57,41,52,,54,46,61,51,,52,55,,54,,59,,48,,57,,50,55,47,58,51,,59,,55,,49,51,,52,57,48,54,59,56,61,,57,71,59,58,52,61,58,55,51,54,52,49,57,54,56,53,54,61
80,,82,,84,,77,,79,,75,81,,80,,82,73,,,,75,,,,76,,,,,77,,,75,79,,,78,,,88,,,79,,84,,,81,68,,75,,77,,79,72,,,71,,76,,78,,81,,,78,76,73,74
,73,,,70,,65,,,68,,70,,,,,68,,,,,,,71,,,,,68,,,,72,68,,69,,70,,,73,,68,,70,,68,69,80,,71,,73,74,68,69,70,,67,72,,,69,,72,,74,,,67,72
69,75,,74,,73,,,76,,78,,72,,76,74,,,,68,,71,74,,,69,,,,73,70,69,,,76,,74,,75,,81,,,,88,,75,74,,,79,70,72,,69,75,73,,,,,71,,,,76,,,71,68,66
,,,60,,,,,,61,,64,,,,,,,55,,,,,63,,,,,60,,,,64,,,,,61,,,58,,,,,59,,55,,,57,,63,,57,,58,,,61,,,,,,,,,56,,54
,,77,,81,,,,,,,,,78,,,,83,,,78,,,,79,,84,81,,,,,,,,,,,,,67,82,,,,,,,73,82,,74,,78,,,,,,,79,,81,75,,,81,80,,70,
73,83,,86,,80,,,84,,79,,82,,85,81,77,,,80,,,82,,,,48,,,,77,,,,82,,,,83,,,,72,,85,77,69,62,,,80,50,68,45,71,76,82,,75,,47,,44,,77,,49,,,,79
43,51,57,50,,45,,47,51,,,,48,,49,,52,,45,,,,,,,,65,,,,,,,,,,,,,,,,51,,46,49,47,,56,,48,65,44,59,,43,46,,52,,57,,55,,,,58,,59,,42
,62,,65,,58,,,63,,,,60,,62,,64,59,54,,,,,,62,,,59,,,,,,,,,,,,,,,58,,63,60,64,71,,,66,,,38,62,62,61,,60,,36,,,,,,39,,43,,61
,41,,45,,40,,,42,,,,,,43,,46,,38,,,,,,,,,,,,,,,,,,,,64,,,,42,,,39,52,,,,44,,41,,,40,37,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
82,,,,68,,,72,79,,70,77,73,,75,76,,74,71,,69,,68,,72,,74,69,75,,70,,67,70,,79,,75,71,,,73,,73,,,,72,,,,,,76,,68,,72,,,74,69,,70,70,75,,72,,,
55,,,,59,,,61,66,,60,63,62,,64,65,,67,58,,,68,61,,63,66,64,62,66,65,61,,59,65,68,69,72,63,61,72,68,64,,66,65,68,70,67,,69,58,74,69,63,76,60,70,65,71,73,64,,,68,,62,70,67,71,,72
71,48,,,83,67,74,,76,59,75,69,78,65,80,72,64,81,68,,62,73,75,71,77,70,79,77,73,68,74,63,76,,71,82,77,79,68,74,,70,76,75,,77,,76,,75,,71,72,74,70,65,72,77,,76,71,78,72,73,69,71,79,74,80,68,77
64,76,,,75,82,71,,84,77,,,81,79,83,77,78,79,,,75,,80,79,76,78,82,,77,80,76,81,78,77,73,,79,82,,69,,,81,,,83,,,,78,,77,82,79,73,,,,,75,,80,76,,77,,84,78,85,76,79
,62,88,,91,79,68,,73,65,77,,72,69,70,74,71,,,43,67,,66,64,68,63,70,,72,67,69,68,71,,66,,74,,,,,,72,,,74,,,48,71,,,,,,,,,,,,72,68,,,,75,,73,72,
78,,75,45,38,52,53,58,,44,58,,49,58,56,,47,57,51,58,,,40,50,60,42,48,,59,53,55,46,47,55,48,,51,52,56,58,59,49,54,,62,55,64,58,,53,62,51,57,59,54,,57,53,61,58,,55,52,51,,58,57,56,59,55,62
69,,,,66,,,,50,,61,,48,52,,53,49,,62,58,,,55,,51,,52,,54,,50,,,,52,,66,,54,,,56,,52,,,,51,,,,,,55,,52,,58,,,54,,51,55,57,59,,55,,54,
45,,,,72,,65,,57,41,52,,54,46,61,51,,52,55,,54,,59,,48,,57,,50,55,47,58,51,,59,,55,,49,51,,52,57,48,54,59,56,61,,57,71,59,58,52,61,58,55,51,54,52,49,57,54,56,53,54,61,51,60,52,58
88,,,79,,84,,,81,68,,75,,77,,79,72,,,71,,76,,78,,81,,,78,76,73,74,80,,82,,84,,77,,79,,75,81,,80,,82,73,,,,75,,,,76,,,,,77,,,75,79,,,78,,
,73,,68,,70,,68,69,80,,71,,73,74,68,69,70,,67,72,,,69,,72,,74,,,67,72,,73,,,70,,65,,,68,,70,,,,,68,,,,,,,71,,,,,68,,,,72,68,,69,,70,
,81,,,,88,,75,74,,,79,70,72,,69,75,73,,,,,71,,,,76,,,71,68,66,69,75,,74,,73,,,76,,78,,72,,76,74,,,,68,,71,74,,,69,,,,73,70,69,,,76,,74,,75
,58,,,,,59,,55,,,57,,63,,57,,58,,,61,,,,,,,,,56,,54,,,,60,,,,,,61,,64,,,,,,,55,,,,,63,,,,,60,,,,64,,,,,61,
,67,82,,,,,,,73,82,,74,,78,,,,,,,79,,81,75,,,81,80,,70,,,,77,,81,,,,,,,,,78,,,,83,,,78,,,,79,,84,81,,,,,,,,,,,
,,,72,,85,77,69,62,,,80,50,68,45,71,76,82,,75,,47,,44,,77,,49,,,,79,73,83,,86,,80,,,84,,79,,82,,85,81,77,,,80,,,82,,,,48,,,,77,,,,82,,,,83
,,,51,,46,49,47,,56,,48,65,44,59,,43,46,,52,,57,,55,,,,58,,59,,42,43,51,57,50,,45,,47,51,,,,48,,49,,52,,45,,,,,,,,65,,,,,,,,,,,,
,,,58,,63,60,64,71,,,66,,,38,62,62,61,,60,,36,,,,,,39,,43,,61,,62,,65,,58,,,63,,,,60,,62,,64,59,54,,,,,,62,,,59,,,,,,,,,,,
,,,42,,,39,52,,,,44,,41,,,40,37,,,,,,,,,,,,,,35,,41,,45,,40,,,42,,,,,,43,,46,,38,,,,,,,,,,,,,,,,,,,,64
,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,82,,,,68,,,72,79,,70,77,73,,75,76,,74,71,,69,,68,,72,,74,69,75,,70,,67,70,,79,,75,71,,,73,,73,,,,72,,,,,,76,,68,,72,,,74,69,,70,70,75,
67,71,,72,55,,,,59,,,61,66,,60,63,62,,64,65,,67,58,,,68,61,,63,66,64,62,66,65,61,,59,65,68,69,72,63,61,72,68,64,,66,65,68,70,67,,69,58,74,69,63,76,60,70,65,71,73,64,,,68,,62,70
74,80,68,77,71,48,,,83,67,74,,76,59,75,69,78,65,80,72,64,81,68,,62,73,75,71,77,70,79,77,73,68,74,63,76,,71,82,77,79,68,74,,70,76,75,,77,,76,,75,,71,72,74,70,65,72,77,,76,71,78,72,73,69,71,79
78,85,76,79,64,76,,,75,82,71,,84,77,,,81,79,83,77,78,79,,,75,,80,79,76,78,82,,77,80,76,81,78,77,73,,79,82,,69,,,81,,,83,,,,78,,77,82,79,73,,,,,75,,80,76,,77,,84
,73,72,,,62,88,,91,79,68,,73,65,77,,72,69,70,74,71,,,43,67,,66,64,68,63,70,,72,67,69,68,71,,66,,74,,,,,,72,,,74,,,48,71,,,,,,,,,,,,72,68,,,,75
56,59,55,62,78,,75,45,38,52,53,58,,44,58,,49,58,56,,47,57,51,58,,,40,50,60,42,48,,59,53,55,46,47,55,48,,51,52,56,58,59,49,54,,62,55,64,58,,53,62,51,57,59,54,,57,53,61,58,,55,52,51,,58,57
55,,54,,69,,,,66,,,,50,,61,,48,52,,53,49,,62,58,,,55,,51,,52,,54,,50,,,,52,,66,,54,,,56,,52,,,,51,,,,,,55,,52,,58,,,54,,51,55,57,59,
51,60,52,58,45,,,,72,,65,,57,41,52,,54,46,61,51,,52,55,,54,,59,,48,,57,,50,55,47,58,51,,59,,55,,49,51,,52,57,48,54,59,56,61,,57,71,59,58,52,61,58,55,51,54,52,49,57,54,56,53,54,61
80,,82,,84,,77,,79,,75,81,,80,,82,73,,,,75,,,,76,,,,,77,,,75,79,,,78,,,88,,,79,,84,,,81,68,,75,,77,,79,72,,,71,,76,,78,,81,,,78,76,73,74
,73,,,70,,65,,,68,,70,,,,,68,,,,,,,71,,,,,68,,,,72,68,,69,,70,,,73,,68,,70,,68,69,80,,71,,73,74,68,69,70,,67,72,,,69,,72,,74,,,67,72
69,75,,74,,73,,,76,,78,,72,,76,74,,,,68,,71,74,,,69,,,,73,70,69,,,76,,74,,75,,81,,,,88,,75,74,,,79,70,72,,69,75,73,,,,,71,,,,76,,,71,68,66
,,,60,,,,,,61,,64,,,,,,,55,,,,,63,,,,,60,,,,64,,,,,61,,,58,,,,,59,,55,,,57,,63,,57,,58,,,61,,,,,,,,,56,,54
,,77,,81,,,,,,,,,78,,,,83,,,78,,,,79,,84,81,,,,,,,,,,,,,67,82,,,,,,,73,82,,74,,78,,,,,,,79,,81,75,,,81,80,,70,
